home_idx,away_idx,margin,home_team,away_team,home_pr,away_pr,home_off,home_def,away_off,away_def
0,8,25.0,ATL,DET,0.0543994736103703,0.012590743809682,1.032039,1.019011,0.949618,1.015795
1,16,18.0,BKN,MIL,0.0245005373461128,0.0280730979756421,1.024876,1.016646,1.046029,1.016851
2,17,12.0,BOS,MIN,0.0772253049343108,0.0464363618485504,1.008049,0.944763,1.049302,1.026474
22,12,5.0,PHI,LAC,0.035428294317116,0.0347824704668889,0.994641,0.971781,0.978238,0.977603
21,26,20.0,ORL,SAS,0.0089507342892975,0.0261337119399451,0.942972,1.01223,1.022324,1.022463
19,22,-7.0,NYK,PHI,0.0291673104305282,0.035428294317116,0.961948,0.961574,0.994641,0.971781
6,13,9.0,DAL,LAL,0.0400431558863304,0.0137511796875004,0.973076,0.945594,1.013651,1.040915
2,16,21.0,BOS,MIL,0.0772253049343108,0.0280730979756421,1.008049,0.944763,1.046029,1.016851
9,14,14.0,GSW,MEM,0.0711095215138326,0.0598898243501919,1.001005,0.950809,1.04365,0.994827
7,23,3.0,DEN,PHX,0.0345402587126149,0.0602335274538521,1.017956,0.998491,1.034706,0.972419
24,3,11.0,POR,CHA,0.0137597696546373,0.0246902228698749,0.960516,1.037311,1.045667,1.04167
5,1,-8.0,CLE,BKN,0.0500866440470742,0.0245005373461128,0.972418,0.953531,1.024876,1.016646
26,28,4.0,SAS,UTA,0.0261337119399451,0.0537611219294618,1.022324,1.022463,1.025165,0.973709
15,17,3.0,MIA,MIN,0.0457870794643961,0.0464363618485504,0.992439,0.954699,1.049302,1.026474
8,12,-11.0,DET,LAC,0.012590743809682,0.0347824704668889,0.949618,1.015795,0.978238,0.977603
4,10,-15.0,CHI,HOU,0.0255075170500835,0.0063633062928196,1.011078,1.014173,0.992851,1.06718
18,11,20.0,NOP,IND,0.0208227100466635,0.0210597726835284,0.986774,0.99425,1.010643,1.039967
20,26,16.0,OKC,SAS,0.0096898554654642,0.0261337119399451,0.936351,1.006328,1.022324,1.022463
27,12,-11.0,TOR,LAC,0.0402042952349722,0.0347824704668889,0.989893,0.969089,0.978238,0.977603
11,0,15.0,IND,ATL,0.0210597726835284,0.0543994736103703,1.010643,1.039967,1.032039,1.019011
9,3,5.0,GSW,CHA,0.0711095215138326,0.0246902228698749,1.001005,0.950809,1.045667,1.04167
25,7,-7.0,SAC,DEN,0.0125988940675179,0.0345402587126149,0.998358,1.046842,1.017956,0.998491
14,23,-17.0,MEM,PHX,0.0598898243501919,0.0602335274538521,1.04365,0.994827,1.034706,0.972419
21,13,-19.0,ORL,LAL,0.0089507342892975,0.0137511796875004,0.942972,1.01223,1.013651,1.040915
2,10,24.0,BOS,HOU,0.0772253049343108,0.0063633062928196,1.008049,0.944763,0.992851,1.06718
29,22,5.0,WAS,PHI,0.0184133026207388,0.035428294317116,0.983764,1.013005,0.994641,0.971781
6,19,5.0,DAL,NYK,0.0400431558863304,0.0291673104305282,0.973076,0.945594,0.961948,0.961574
25,7,1.0,SAC,DEN,0.0125988940675179,0.0345402587126149,0.998358,1.046842,1.017956,0.998491
4,16,6.0,CHI,MIL,0.0255075170500835,0.0280730979756421,1.011078,1.014173,1.046029,1.016851
18,17,1.0,NOP,MIN,0.0208227100466635,0.0464363618485504,0.986774,0.99425,1.049302,1.026474
0,1,-1.0,ATL,BKN,0.0543994736103703,0.0245005373461128,1.032039,1.019011,1.024876,1.016646
8,21,20.0,DET,ORL,0.012590743809682,0.0089507342892975,0.949618,1.015795,0.942972,1.01223
29,23,25.0,WAS,PHX,0.0184133026207388,0.0602335274538521,0.983764,1.013005,1.034706,0.972419
9,28,5.0,GSW,UTA,0.0711095215138326,0.0537611219294618,1.001005,0.950809,1.025165,0.973709
