home_idx,away_idx,margin,season
0,18,12.0,2018
29,25,6.0,2018
28,20,-9.0,2018
10,3,12.0,2018
12,2,25.0,2018
5,27,25.0,2018
1,8,28.0,2018
12,24,-21.0,2018
6,26,-7.0,2018
22,5,7.0,2018
18,16,-17.0,2018
11,19,5.0,2018
7,17,26.0,2018
4,13,-16.0,2018
15,8,30.0,2018
29,21,10.0,2018
20,1,12.0,2018
10,9,-2.0,2018
23,28,-17.0,2018
0,14,21.0,2018
2,25,6.0,2018
27,13,13.0,2018
11,20,2.0,2018
28,17,20.0,2018
21,5,29.0,2018
7,6,1.0,2018
26,19,26.0,2018
15,16,-15.0,2018
10,23,6.0,2018
22,25,9.0,2018
8,13,14.0,2018
18,24,-12.0,2018
29,3,-6.0,2018
12,4,7.0,2018
6,5,5.0,2018
2,0,9.0,2018
29,14,7.0,2018
7,11,2.0,2018
28,1,16.0,2018
20,9,-22.0,2018
18,23,-2.0,2018
26,24,5.0,2018
12,1,3.0,2018
10,17,15.0,2018
21,0,10.0,2018
19,13,1.0,2018
16,22,-5.0,2018
15,3,18.0,2018
25,4,27.0,2018
8,27,3.0,2018
2,7,-9.0,2018
27,19,30.0,2018
26,9,6.0,2018
29,28,-21.0,2018
24,11,8.0,2018
5,8,7.0,2018
23,4,-15.0,2018
6,18,-4.0,2018
20,15,-9.0,2018
12,11,6.0,2018
0,10,-16.0,2018
3,22,-4.0,2018
17,9,-10.0,2018
16,13,14.0,2018
25,1,-2.0,2018
14,10,1.0,2018
4,29,6.0,2018
20,27,-9.0,2018
22,2,3.0,2018
26,15,-5.0,2018
24,6,8.0,2018
21,18,23.0,2018
5,16,5.0,2018
19,28,-21.0,2018
25,6,16.0,2018
9,11,23.0,2018
29,7,-5.0,2018
0,28,3.0,2018
3,17,7.0,2018
23,8,-20.0,2018
21,14,4.0,2018
19,7,-18.0,2018
27,20,-7.0,2018
10,26,6.0,2018
5,12,-2.0,2018
13,1,-5.0,2018
16,15,29.0,2018
29,15,-5.0,2018
3,2,7.0,2018
0,22,2.0,2018
24,8,5.0,2018
14,17,-13.0,2018
9,6,-30.0,2018
4,28,-30.0,2018
25,23,9.0,2018
11,7,30.0,2018
2,26,-19.0,2018
27,3,-1.0,2018
19,12,-11.0,2018
18,10,-23.0,2018
16,5,22.0,2018
9,8,7.0,2018
13,25,5.0,2018
24,1,4.0,2018
21,22,21.0,2018
14,20,12.0,2018
28,23,30.0,2018
16,10,14.0,2018
7,8,3.0,2018
6,25,-4.0,2018
18,0,-10.0,2018
27,4,9.0,2018
17,12,-11.0,2018
3,26,9.0,2018
5,2,-10.0,2018
15,21,-5.0,2018
13,29,18.0,2018
4,24,-20.0,2018
23,29,-3.0,2018
20,11,8.0,2018
28,13,15.0,2018
14,9,-15.0,2018
15,6,6.0,2018
19,27,-25.0,2018
10,7,27.0,2018
22,1,13.0,2018
8,21,17.0,2018
16,12,10.0,2018
26,5,6.0,2018
18,25,3.0,2018
20,7,-10.0,2018
17,9,1.0,2018
28,29,4.0,2018
13,3,14.0,2018
2,11,2.0,2018
0,24,-20.0,2018
8,24,9.0,2018
12,5,24.0,2018
1,2,14.0,2018
4,27,-23.0,2018
23,14,-5.0,2018
19,15,-8.0,2018
17,22,-9.0,2018
11,21,-5.0,2018
10,25,11.0,2018
26,25,-7.0,2018
20,6,-3.0,2018
0,16,1.0,2018
7,29,-5.0,2018
9,3,30.0,2018
18,13,-28.0,2018
12,14,17.0,2018
27,21,12.0,2018
2,15,5.0,2018
28,3,9.0,2018
17,24,-10.0,2018
11,8,9.0,2018
1,16,-10.0,2018
23,5,9.0,2018
19,4,8.0,2018
6,22,20.0,2018
25,10,-25.0,2018
26,0,6.0,2018
20,13,16.0,2018
9,7,14.0,2018
15,2,-10.0,2018
0,22,8.0,2018
29,4,-1.0,2018
12,10,-30.0,2018
18,3,-6.0,2018
23,28,-21.0,2018
8,11,-19.0,2018
21,19,14.0,2018
24,14,27.0,2018
7,26,28.0,2018
1,27,-10.0,2018
6,17,-2.0,2018
22,16,-6.0,2018
13,9,-18.0,2018
25,5,13.0,2018
6,14,-10.0,2018
11,2,-20.0,2018
23,18,7.0,2018
17,15,2.0,2018
12,13,-5.0,2018
7,24,9.0,2018
3,27,2.0,2018
28,25,21.0,2018
21,0,30.0,2018
9,5,6.0,2018
20,8,13.0,2018
29,26,-17.0,2018
10,19,24.0,2018
4,22,-20.0,2018
16,1,-5.0,2018
5,26,-22.0,2018
11,1,-12.0,2018
2,21,-8.0,2018
8,3,-13.0,2018
25,18,-4.0,2018
13,28,4.0,2018
24,7,7.0,2018
9,12,27.0,2018
27,15,8.0,2018
14,6,-2.0,2018
10,23,30.0,2018
19,29,3.0,2018
17,20,-6.0,2018
16,0,8.0,2018
29,2,-6.0,2018
18,9,-9.0,2018
17,27,-20.0,2018
6,23,11.0,2018
20,10,1.0,2018
4,19,-10.0,2018
5,3,-27.0,2018
13,24,-3.0,2018
28,7,10.0,2018
15,22,23.0,2018
8,14,7.0,2018
19,8,-26.0,2018
